,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.7014101028442383,0.06146526336669922,0.6952505337748619,0.7081280967948833,True,gini,3,0.01,0.01,0.01,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 3, 'max_features': 0.01, 'min_samples_leaf': 0.01, 'min_samples_split': 0.01, 'n_estimators': 100}",74,0.6852753514288454,0.6959554161341822,0.6938406163996697,0.719035622732653,0.7087957681030274,0.7161846432077792,0.7043714150053895,0.7169681976933289,0.6839692511140247,0.6924966042064735,0.14155903687563046,0.004771159761186531,0.009954070966392399,0.011441565986261481
1,0.8051458835601807,0.082118558883667,0.6916922937806705,0.7003776795775548,True,gini,3,0.01,0.01,0.1,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 3, 'max_features': 0.01, 'min_samples_leaf': 0.01, 'min_samples_split': 0.1, 'n_estimators': 100}",88,0.6841115382160151,0.692107916602656,0.6729421652748617,0.6929406295174506,0.693074111078857,0.698686021681635,0.7049002333551612,0.7141988003281433,0.7034373690542166,0.7039550297578887,0.05292105097107005,0.011991250223585328,0.012027673198885402,0.008128729455571932
2,0.6767011165618897,0.06437039375305176,0.6793344067164183,0.6873679124340275,True,gini,3,0.01,0.01,0.5,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 3, 'max_features': 0.01, 'min_samples_leaf': 0.01, 'min_samples_split': 0.5, 'n_estimators': 100}",124,0.6973840988553657,0.6983435247492047,0.6633913683343572,0.6868255635213606,0.6645712239556962,0.6641967614335608,0.6996467887224425,0.7068347421517549,0.6716733012530245,0.6806389703142567,0.06720497748715953,0.0073847844924391885,0.015932754876150743,0.014709837307276999
3,0.6842177867889404,0.07580175399780273,0.6792830351817423,0.6838864125671182,True,gini,3,0.01,0.1,0.01,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 3, 'max_features': 0.01, 'min_samples_leaf': 0.1, 'min_samples_split': 0.01, 'n_estimators': 100}",125,0.6785890146268978,0.6821919225405968,0.6704873792437672,0.6884108458219216,0.6873437454290967,0.6860461940889431,0.6691802415462198,0.6705007878538364,0.6908172931788793,0.6922823125302935,0.012475851870272866,0.010646723035356883,0.008693661417559813,0.007452147799200379
4,0.7070811748504638,0.064170503616333,0.6632373062276499,0.6709192796150502,True,gini,3,0.01,0.1,0.1,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 3, 'max_features': 0.01, 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100}",143,0.65898599627726,0.6641210196607068,0.6755918827508455,0.6969424459008469,0.6794397394613254,0.6806630200317568,0.6481253952073306,0.6502059881393132,0.6540425075357187,0.6626639243426273,0.0223672954228948,0.004217990253985852,0.012215798282731963,0.016220686383047883
5,0.5861564159393311,0.056951379776000975,0.6714599832231116,0.6751460554272309,True,gini,3,0.01,0.1,0.5,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 3, 'max_features': 0.01, 'min_samples_leaf': 0.1, 'min_samples_split': 0.5, 'n_estimators': 100}",139,0.6955713792782474,0.6990062024245842,0.6744408589810232,0.6919801246551487,0.6393283050584289,0.6390805519156632,0.6764178801360077,0.6759769826297963,0.6715365825910256,0.6696864155109623,0.03131259450484122,0.006369666312067054,0.018151557265001696,0.02089933565011012
6,0.5614943981170655,0.06968479156494141,0.5,0.5,True,gini,3,0.01,0.5,0.01,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 3, 'max_features': 0.01, 'min_samples_leaf': 0.5, 'min_samples_split': 0.01, 'n_estimators': 100}",145,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.040925366000548795,0.013294959618456241,0.0,0.0
7,0.5991941928863526,0.056151294708251955,0.5,0.5,True,gini,3,0.01,0.5,0.1,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 3, 'max_features': 0.01, 'min_samples_leaf': 0.5, 'min_samples_split': 0.1, 'n_estimators': 100}",145,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.021961787634492053,0.002305167835876241,0.0,0.0
8,0.5593880653381348,0.05524711608886719,0.5,0.5,True,gini,3,0.01,0.5,0.5,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 3, 'max_features': 0.01, 'min_samples_leaf': 0.5, 'min_samples_split': 0.5, 'n_estimators': 100}",145,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.013036497632750749,0.006818416595233291,0.0,0.0
9,0.9995587825775146,0.07951202392578124,0.705950712919401,0.7144726807568059,True,gini,3,0.1,0.01,0.01,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 0.01, 'min_samples_split': 0.01, 'n_estimators': 100}",47,0.7070379695291008,0.710392991505008,0.7081513410608322,0.7257717119281628,0.7002716663628774,0.7068703766482757,0.7064585597688501,0.7168188985604841,0.7078341905354077,0.7125094251420987,0.013560492807522318,0.008325775055911288,0.002901081662967665,0.006503323890935799
